user_id,name,latitude,longitude
4,Ian Kehoe,53.2451022,-6.238335
5,Nora Dempsey,53.1302756,-6.2397222
6,Theresa Enright,53.1229599,-6.2705202
8,Eoin Ahearn,54.0894797,-6.18671
11,Richard Finnegan,53.008769,-6.1056711
12,Christina McArdle,52.986375,-6.043701
13,Olive Ahearn,53.0,-7.0
15,Michael Ahearn,52.966,-6.463
17,Patricia Cahill,54.180238,-5.920898
23,Eoin Gallagher,54.080556,-6.361944
24,Rose Enright,54.133333,-6.433333
26,Stephen McArdle,53.038056,-7.653889
29,Oliver Ahearn,53.74452,-7.11167
30,Nick Enright,53.761389,-7.2875
31,Alan Behan,53.1489345,-6.8422408
39,Lisa Ahearn,53.0033946,-6.3877505
